bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl,day_0_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-24558.0,2197,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,51730.0,-38694.0,-37594.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,132084.5,2114,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9404.0,-16500.5,139181.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-5179.0,2110,bootstrap,308.0,1.0,1.0,0.0,1.0,-24851.0,26756.0,-7084.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,80642.0,2225,bootstrap,337.3333,1.0,1.0,0.0,1.0,21028.0,49274.0,10340.0
TradervR1_34_1,original_noise,original_noise_001,286209.0,2131,original,0.0,0.980006,0.993392,0.010975,1.0,94961.0,95398.0,95850.0
TradervR1_34_1,original_noise,original_noise_002,284710.0,2114,original,0.0,0.95822,0.976527,0.019165,1.0,94442.0,95065.0,95203.0
TradervR1_lab_r05_03_a_local_fair_blend,bootstrap_balanced,bootstrap_balanced_001,-34939.0,2242,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,37969.0,-37401.0,-35507.0
TradervR1_lab_r05_03_a_local_fair_blend,bootstrap_balanced,bootstrap_balanced_002,132220.0,2177,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,11733.0,-15253.0,135740.0
TradervR1_lab_r05_03_a_local_fair_blend,bootstrap_path,bootstrap_path_001,997.5,2187,bootstrap,308.0,1.0,1.0,0.0,1.0,-23629.0,28325.0,-3698.5
TradervR1_lab_r05_03_a_local_fair_blend,bootstrap_path,bootstrap_path_002,85656.0,2330,bootstrap,337.3333,1.0,1.0,0.0,1.0,22594.0,50848.0,12214.0
TradervR1_lab_r05_03_a_local_fair_blend,original_noise,original_noise_001,290835.5,2179,original,0.0,0.980006,0.993392,0.010975,1.0,96316.0,96878.5,97641.0
TradervR1_lab_r05_03_a_local_fair_blend,original_noise,original_noise_002,289222.0,2162,original,0.0,0.95822,0.976527,0.019165,1.0,96011.0,96291.0,96920.0
