trader: TradervR3_34.py
dataset: ROUND-3
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
ROUND_3-carry    all    30000       12273   -737471.00  runs/tradervr3_34_20260424_201141

PRODUCT             ROUND_3-carry
HYDROGEL_PACK          -874593.00
VELVETFRUIT_EXTRACT      61406.00
VEV_4000                  1264.00
VEV_4500                 13401.00
VEV_5000                 47449.00
VEV_5100                 14102.00
VEV_5200                  -500.00
VEV_5300                     0.00
VEV_5400                     0.00
VEV_5500                     0.00
VEV_6000                     0.00
VEV_6500                     0.00
